produto;classificao_produto;id_produto;uf;regiao;ano;mes;data_inicial_final_semana;semana;dsc_nivel_comercializacao;valor_produto_kg
04-14-08                 ;NÃO INFORMADO       ;4480;MG        ;SUDESTE                  ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;MG        ;SUDESTE                  ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;RJ        ;SUDESTE                  ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;RJ        ;SUDESTE                  ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;RJ        ;SUDESTE                  ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;RJ        ;SUDESTE                  ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;10;27-10-2025 - 31-10-2025  ;5;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;10;29-09-2025 - 03-10-2025  ;1;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;10;06-10-2025 - 10-10-2025  ;2;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;10;13-10-2025 - 17-10-2025  ;3;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;10;20-10-2025 - 24-10-2025  ;4;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;2,8
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;2;16-02-2026 - 20-02-2026  ;3;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;2;02-02-2026 - 06-02-2026  ;1;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;2;09-02-2026 - 13-02-2026  ;2;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;2;23-02-2026 - 27-02-2026  ;4;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE                    ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;2,56
04-24-12                 ;NÃO INFORMADO       ;4486;RS        ;SUL                      ;2025;8;25-08-2025 - 29-08-2025  ;4;PREÇO PAGO PELO PROD;2,98
04-24-12                 ;NÃO INFORMADO       ;4486;RS        ;SUL                      ;2025;8;04-08-2025 - 08-08-2025  ;1;PREÇO PAGO PELO PROD;2,98
04-24-12                 ;NÃO INFORMADO       ;4486;RS        ;SUL                      ;2025;8;18-08-2025 - 22-08-2025  ;3;PREÇO PAGO PELO PROD;2,98
04-24-12                 ;NÃO INFORMADO       ;4486;RS        ;SUL                      ;2025;8;11-08-2025 - 15-08-2025  ;2;PREÇO PAGO PELO PROD;2,98
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,56
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,56
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,56
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,56
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;2,67
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;2,67
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;2,67
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE             ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,67
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,65
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,65
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,65
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,65
04-30-10                 ;NÃO INFORMADO       ;4488;SP        ;SUDESTE                  ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,5
04-30-10                 ;NÃO INFORMADO       ;4488;SP        ;SUDESTE                  ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,5
04-30-10                 ;NÃO INFORMADO       ;4488;SP        ;SUDESTE                  ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,5
04-30-10                 ;NÃO INFORMADO       ;4488;SP        ;SUDESTE                  ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,5
04-30-10                 ;NÃO INFORMADO       ;4488;MS        ;CENTRO-OESTE             ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;5,54
04-30-10                 ;NÃO INFORMADO       ;4488;MS        ;CENTRO-OESTE             ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;5,54
04-30-10                 ;NÃO INFORMADO       ;4488;MS        ;CENTRO-OESTE             ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;5,54
04-30-10                 ;NÃO INFORMADO       ;4488;MS        ;CENTRO-OESTE             ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;5,54
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,9
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,9
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,9
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,9
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,4
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,4
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,4
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,4
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;2,44
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;2,44
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;2,44
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,44
05-20-10                 ;NÃO INFORMADO       ;4491;RS        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,74
05-20-10                 ;NÃO INFORMADO       ;4491;RS        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,74
05-20-10                 ;NÃO INFORMADO       ;4491;RS        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,74
05-20-10                 ;NÃO INFORMADO       ;4491;RS        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,74
05-20-10                 ;NÃO INFORMADO       ;4491;SC        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,85
05-20-10                 ;NÃO INFORMADO       ;4491;SC        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,85
05-20-10                 ;NÃO INFORMADO       ;4491;SC        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,85
05-20-10                 ;NÃO INFORMADO       ;4491;SC        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,85
05-20-20                 ;NÃO INFORMADO       ;4492;RS        ;SUL                      ;2025;8;18-08-2025 - 22-08-2025  ;3;PREÇO PAGO PELO PROD;3,28
05-20-20                 ;NÃO INFORMADO       ;4492;RS        ;SUL                
