id_ano_comercializacao;id_mes_comercializacao;municipio_origem_produto;cod_ibge_municipio_origem_produto;uf_origem_produto;dsc_ceasa;uf_ceasa;municipio_ceasa;cod_ibge_municipio_ceasa;dsc_produto;qtd_comercializada_kg;valor_comercializado;pais_origem
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/SP - CAMPINAS                     ;SP;CAMPINAS-SP                             ;3509502                       ;MACA IMPORTADA                ;931;7833,34;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/SP - CAMPINAS                     ;SP;CAMPINAS-SP                             ;3509502                       ;MACA IMPORTADA                ;5404;44673,79;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/SP - CAMPINAS                     ;SP;CAMPINAS-SP                             ;3509502                       ;CEBOLA AMARELA                ;10000;15383,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/SP - CAMPINAS                     ;SP;CAMPINAS-SP                             ;3509502                       ;ALHO IMPORTADO                ;78000;1284979,8;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/ES - VITORIA                      ;ES;CARIACICA-ES                            ;3201308                       ;ALHO IMPORTADO                ;247850;3668169,93;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;TANGERINA IMP                 ;400;3400,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;PERA WILLIAMS                 ;400;2300,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;AMEIXA IMPORT                 ;1547168;17003376,32;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;ALHO IMPORTADO                ;153350;2370791,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;PERA D'ANJOU                  ;700;3850,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;PESSEGO IMPORTADO             ;18450;205725,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;NECTARINA IMPORTADA           ;19944;219775,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;MELAO IMPORTADO               ;348;2320,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;ASPARGO                       ;17173;927513,73;Peru                                    
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;MACA GRAND SMITH              ;2646;19110,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;UVA IMPORTADA                 ;135;1350,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;MIRTILO IMPORTADO             ;8280;662400,0;Peru                                    
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;ALHO IMPORTADO                ;3310;52960,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;AMEIXA IMPORT                 ;50;550,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;PERA WILLIAMS                 ;98640;567180,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;LARANJA IMPORTADA             ;49270;257285,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;PERA PACK TRIUMPH             ;18440;101420,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;GRANADILLA                    ;240;3600,0;Colômbia                                
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;PHYSALIS                      ;5290;264500,0;Colômbia                                
