produto;classificao_produto;id_produto;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
08-20-20 + ZN            ;NÃO INFORMADO       ;4505;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,43
08-28-16                 ;NÃO INFORMADO       ;4506;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,58
08-28-16                 ;NÃO INFORMADO       ;4506;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,75
08-40-00                 ;NÃO INFORMADO       ;10592;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,7
09-00-24                 ;NÃO INFORMADO       ;11904;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;4,4
09-00-24                 ;NÃO INFORMADO       ;11904;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,5
09-25-15                 ;NÃO INFORMADO       ;13664;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,23
10-00-30                 ;NÃO INFORMADO       ;11776;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,92
10-10-10                 ;NÃO INFORMADO       ;8653;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,74
10-10-10                 ;NÃO INFORMADO       ;8653;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,74
10-15-15                 ;NÃO INFORMADO       ;10492;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,9
10-15-15                 ;NPK + MICRONUTRIENTE;14208;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,98
10-15-15                 ;NÃO INFORMADO       ;10492;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,69
10-15-15                 ;NÃO INFORMADO       ;10492;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,93
10-15-15                 ;NÃO INFORMADO       ;10492;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,5
10-20-10                 ;NÃO INFORMADO       ;10256;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,74
10-20-10                 ;NÃO INFORMADO       ;10256;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,63
10-20-10                 ;NÃO INFORMADO       ;10256;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;16,0
10-20-20                 ;NÃO INFORMADO       ;4515;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,74
10-20-20                 ;NÃO INFORMADO       ;4515;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,53
10-24-12                 ;NÃO INFORMADO       ;14036;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,28
10-26-23                 ;NÃO INFORMADO       ;13653;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,8
10-26-23                 ;NÃO INFORMADO       ;13653;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,15
10-28-20                 ;NÃO INFORMADO       ;4516;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;5,0
10-28-20                 ;NÃO INFORMADO       ;4516;PA        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;5,0
10-28-20                 ;NÃO INFORMADO       ;4516;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;5,0
10-30-10                 ;NÃO INFORMADO       ;12306;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,6
10-35-06                 ;NÃO INFORMADO       ;13416;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;4,48
11-07-35                 ;NÃO INFORMADO       ;9660;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,95
12-00-12                 ;NÃO INFORMADO       ;4518;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,84
12-00-12                 ;NÃO INFORMADO       ;4518;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,19
12-00-12                 ;NÃO INFORMADO       ;4518;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;4,4
12-10-10 + S 9% + CA 4% +;BASIDUO             ;14357;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;3,1
12-31-16                 ;NÃO INFORMADO       ;15041;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,57
12-31-17                 ;NÃO INFORMADO       ;11378;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,46
12-31-17                 ;NÃO INFORMADO       ;11378;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;4,39
13-13-28                 ;NÃO INFORMADO       ;10649;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,29
14-00-21                 ;NÃO INFORMADO       ;14196;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,1
14-07-28                 ;NÃO INFORMADO       ;11008;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,4
14-07-28                 ;NÃO INFORMADO       ;11008;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,6
15-00-15                 ;NÃO INFORMADO       ;12671;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,92
15-00-15                 ;NÃO INFORMADO       ;12671;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,15
15-00-30                 ;NÃO INFORMADO       ;12701;PE        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,8
15-00-30                 ;NÃO INFORMADO       ;12701;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,95
15-15-18                 ;NÃO INFORMADO       ;14184;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,58
15-15-18                 ;NÃO INFORMADO       ;14184;AL        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,58
15-15-18                 ;NÃO INFORMADO       ;14184;AL        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
16-16-16                 ;NÃO INFORMADO       ;12331;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;4,1
