codigo_estacao,nome,sigla_uf,regiao_inmet,lat,lon,altitude,ano_primeiro,ano_ultimo,n_anos,data_fundacao
A613,SANTA TERESA,ES,SE,-19.98833333,-40.57944443,975.92,2014,2026,13,2007-08-09
A614,LINHARES,ES,SE,-19.35694444,-40.0686111,40.0,2014,2026,13,2006-10-27
A615,ALFREDO CHAVES,ES,SE,-20.63638888,-40.74194444,14.19,2014,2024,11,2006-11-03
A616,SAO MATEUS,ES,SE,-18.6761111,-39.86416666,28.66,2014,2026,13,2006-10-25
A617,ALEGRE,ES,SE,-20.75055555,-41.48888888,138.0,2014,2026,13,2006-10-25
A622,PRESIDENTE KENNEDY,ES,SE,-21.10083333,-41.03944444,69.12,2014,2026,13,2008-06-18
A623,NOVA VENECIA,ES,SE,-18.69527777,-40.39055555,156.02,2014,2022,9,2008-06-22
A631,ECOPORANGA,ES,SE,-18.29138888,-40.73638888,224.0,2017,2026,10,2017-03-17
A632,MARILANDIA,ES,SE,-19.40722222,-40.53972221,95.0,2017,2026,10,2017-03-22
A633,VENDA NOVA DO IMIGRANTE,ES,SE,-20.38555555,-41.18999999,722.0,2017,2026,10,2017-02-10
A634,VILA VELHA,ES,SE,-20.46694443,-40.40388888,25.0,2017,2026,10,2017-02-15
A657,AFONSO CLAUDIO,ES,SE,-20.10416666,-41.10694444,507.48,2014,2026,13,2011-09-24
A002,GOIANIA,GO,CO,-16.64277777,-49.22027777,727.3,2014,2026,13,2001-05-29
A003,MORRINHOS,GO,CO,-17.74499999,-49.10166666,751.09,2014,2026,13,2001-05-25
A005,PORANGATU,GO,CO,-13.30944444,-49.11749999,365.0,2018,2026,9,2001-06-04
A011,SAO SIMAO,GO,CO,-18.96916666,-50.63333333,492.45,2014,2026,13,2006-07-15
A012,LUZIANIA,GO,CO,-16.26055555,-47.96694443,1000.82,2014,2026,13,2006-10-21
A013,ARAGARCAS,GO,CO,-15.90277777,-52.24527777,327.35,2014,2026,13,2007-07-13
A014,GOIAS,GO,CO,-15.93972221,-50.14138888,512.86,2014,2026,13,2007-07-18
A015,ITAPACI,GO,CO,-14.97972221,-49.53944444,551.0,2014,2026,13,2007-02-03
A016,JATAI,GO,CO,-17.9236111,-51.71749999,670.08,2014,2026,13,2007-05-23
A017,POSSE,GO,CO,-14.08916666,-46.36638888,830.0,2014,2026,13,2007-04-18
A022,GOIANESIA,GO,CO,-15.22027777,-48.98999999,667.01,2014,2026,13,2007-06-02
A023,CAIAPONIA,GO,CO,-16.96694443,-51.81749999,740.1,2014,2026,13,2007-05-21
A024,ALTO PARAISO DE GOIAS,GO,CO,-14.13305554,-47.52333332,1264.7,2014,2026,13,2007-06-04
A025,RIO VERDE,GO,CO,-17.78527777,-50.965,780.11,2014,2026,13,2007-05-17
A026,MINEIROS,GO,CO,-17.45472222,-52.60111111,862.0,2014,2026,13,2007-11-24
A027,PARAUNA,GO,CO,-16.9625,-50.42555554,678.74,2014,2026,13,2008-03-29
A028,IPORA,GO,CO,-16.42305554,-51.14888888,610.41,2014,2026,13,2013-06-24
