ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2019/20             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;18.3;30.4;1.7
2019/20             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1.2;1.3;1.1
2019/20             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.3;0.4;1.3
2019/20             ;UNICA          ;RO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;9.8;14.5;1.5
2019/20             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;11;17.2;1.6
2019/20             ;UNICA          ;TO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;6.7;11.1;1.7
2020/21             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1;0.8;0.8
2020/21             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;266.6;506.6;1.9
2020/21             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;2.4;2.3;1
2020/21             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;27.3;46.3;1.7
2020/21             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;25.6;44.5;1.7
2020/21             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;31.8;47.4;1.5
2020/21             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;22.5;44.7;2
2020/21             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;961.3;1617.1;1.7
2020/21             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1.5;0.6;0.4
2020/21             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;9.6;19;2
2020/21             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.8;0.9;1.1
2020/21             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.3;0.4;1.3
